Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
2985,2985,2985,02 Mar 2022
3770,3770,3770,01 Mar 2022
3035,3035,3035,28 Feb 2022
5500,5500,5500,27 Feb 2022
3642,3642,3642,26 Feb 2022
4225,4225,4225,25 Feb 2022
4400,4400,4400,24 Feb 2022
4439,4439,4439,23 Feb 2022
3100,3100,3100,22 Feb 2022
2900,2900,2900,21 Feb 2022
5201,5201,5201,20 Feb 2022
3560,3560,3560,19 Feb 2022
3350,3350,3350,18 Feb 2022
4439,4439,4439,17 Feb 2022
2933,2933,2933,16 Feb 2022
2975,2975,2975,15 Feb 2022
3500,3500,3500,14 Feb 2022
5151,5151,5151,13 Feb 2022
2900,2900,2900,12 Feb 2022
3870,3870,3870,11 Feb 2022
3185,3185,3185,10 Feb 2022
3737,3737,3737,09 Feb 2022
3017,3017,3017,08 Feb 2022
3060,3060,3060,07 Feb 2022
4800,4800,4800,06 Feb 2022
5901,5901,5901,05 Feb 2022
3201,3201,3201,04 Feb 2022
3305,3305,3305,03 Feb 2022
3905,3905,3905,02 Feb 2022
4225,4225,4225,01 Feb 2022
2933,2933,2933,31 Jan 2022
5500,5500,5500,30 Jan 2022
3185,3185,3185,28 Jan 2022
3535,3535,3535,27 Jan 2022
3100,3100,3100,26 Jan 2022
4600,4600,4600,25 Jan 2022
2725,2725,2725,24 Jan 2022
5500,5500,5500,23 Jan 2022
4850,4850,4850,22 Jan 2022
2900,2900,2900,21 Jan 2022
2858,2858,2858,20 Jan 2022
4600,4600,4600,19 Jan 2022
3851,3851,3851,18 Jan 2022
3017,3017,3017,17 Jan 2022
3642,3642,3642,16 Jan 2022
3035,3035,3035,15 Jan 2022
3675,3675,3675,14 Jan 2022
3313,3313,3313,12 Jan 2022
3737,3737,3737,11 Jan 2022
3305,3305,3305,10 Jan 2022
4901,4901,4901,09 Jan 2022
4250,4250,4250,08 Jan 2022
3201,3201,3201,07 Jan 2022
2885,2885,2885,05 Jan 2022
4350,4350,4350,04 Jan 2022
3642,3642,3642,03 Jan 2022
4401,4401,4401,02 Jan 2022
3185,3185,3185,01 Jan 2022
4401,4401,4401,31 Dec 2021
4439,4439,4439,30 Dec 2021
5900,5900,5900,29 Dec 2021
2725,2725,2725,28 Dec 2021
3750,3750,3750,27 Dec 2021
5275,5275,5275,26 Dec 2021
4225,4225,4225,25 Dec 2021
6051,6051,6051,24 Dec 2021
3185,3185,3185,23 Dec 2021
2975,2975,2975,22 Dec 2021
3185,3185,3185,21 Dec 2021
5151,5151,5151,20 Dec 2021
5500,5500,5500,19 Dec 2021
3305,3305,3305,18 Dec 2021
