Unnamed: 0,Date,Centre_Name,Price
27293,13-01-12,MUMBAI,1925.0
27294,13-01-12,NAGPUR,1717.0
27342,16-01-12,MUMBAI,1925.0
27343,16-01-12,NAGPUR,1717.0
27391,17-01-12,MUMBAI,1925.0
27392,17-01-12,NAGPUR,1717.0
27440,18-01-12,MUMBAI,1925.0
27441,18-01-12,NAGPUR,1717.0
27489,19-01-12,MUMBAI,1925.0
27490,19-01-12,NAGPUR,1717.0
27538,20-01-12,MUMBAI,1925.0
27539,20-01-12,NAGPUR,1725.0
27587,23-01-12,MUMBAI,1925.0
27588,23-01-12,NAGPUR,1733.0
27636,24-01-12,MUMBAI,1925.0
27637,24-01-12,NAGPUR,1733.0
27685,25-01-12,MUMBAI,1925.0
27686,25-01-12,NAGPUR,1733.0
27734,27-01-12,MUMBAI,1925.0
27735,27-01-12,NAGPUR,1750.0
27783,30-01-12,MUMBAI,1925.0
27784,30-01-12,NAGPUR,1750.0
27832,31-01-12,MUMBAI,1925.0
27833,31-01-12,NAGPUR,1750.0
27881,01-02-12,MUMBAI,1925.0
27882,01-02-12,NAGPUR,1833.0
27930,02-02-12,MUMBAI,1925.0
27931,02-02-12,NAGPUR,1833.0
27979,03-02-12,MUMBAI,1925.0
27980,03-02-12,NAGPUR,1833.0
28028,06-02-12,MUMBAI,1925.0
28029,06-02-12,NAGPUR,1833.0
28077,07-02-12,MUMBAI,1925.0
28078,07-02-12,NAGPUR,1833.0
28126,08-02-12,MUMBAI,1925.0
28127,08-02-12,NAGPUR,1833.0
28175,09-02-12,MUMBAI,1925.0
28176,09-02-12,NAGPUR,1833.0
28224,10-02-12,MUMBAI,1925.0
28225,10-02-12,NAGPUR,1883.0
28273,13-02-12,MUMBAI,1925.0
28274,13-02-12,NAGPUR,1883.0
28322,14-02-12,MUMBAI,1925.0
28323,14-02-12,NAGPUR,1883.0
28371,15-02-12,MUMBAI,1925.0
28372,15-02-12,NAGPUR,1950.0
28420,16-02-12,MUMBAI,
28421,16-02-12,NAGPUR,
28469,17-02-12,MUMBAI,1925.0
28470,17-02-12,NAGPUR,1950.0
28518,21-02-12,MUMBAI,1925.0
28519,21-02-12,NAGPUR,1950.0
28567,22-02-12,MUMBAI,1925.0
28568,22-02-12,NAGPUR,1950.0
28616,23-02-12,MUMBAI,1925.0
28617,23-02-12,NAGPUR,1950.0
28665,24-02-12,MUMBAI,1925.0
28666,24-02-12,NAGPUR,2017.0
28714,27-02-12,MUMBAI,1925.0
28715,27-02-12,NAGPUR,2017.0
28763,28-02-12,MUMBAI,1925.0
28764,28-02-12,NAGPUR,2017.0
28812,29-02-12,MUMBAI,1925.0
28813,29-02-12,NAGPUR,2017.0
28861,01-03-12,MUMBAI,1925.0
28862,01-03-12,NAGPUR,2017.0
28910,02-03-12,MUMBAI,1925.0
28911,02-03-12,NAGPUR,2017.0
28959,05-03-12,MUMBAI,1925.0
28960,05-03-12,NAGPUR,2017.0
29008,06-03-12,MUMBAI,1925.0
29009,06-03-12,NAGPUR,2017.0
29057,07-03-12,MUMBAI,1925.0
29058,07-03-12,NAGPUR,2017.0
29106,09-03-12,MUMBAI,1925.0
29107,09-03-12,NAGPUR,2017.0
29155,12-03-12,MUMBAI,1925.0
29156,12-03-12,NAGPUR,2017.0
29204,13-03-12,MUMBAI,1925.0
29205,13-03-12,NAGPUR,2017.0
29253,14-03-12,MUMBAI,1925.0
29254,14-03-12,NAGPUR,2017.0
29302,15-03-12,MUMBAI,1925.0
29303,15-03-12,NAGPUR,2017.0
29351,16-03-12,MUMBAI,1925.0
29352,16-03-12,NAGPUR,2017.0
29400,19-03-12,MUMBAI,1925.0
29401,19-03-12,NAGPUR,2017.0
29449,20-03-12,MUMBAI,1925.0
29450,20-03-12,NAGPUR,2017.0
29498,21-03-12,MUMBAI,1925.0
29499,21-03-12,NAGPUR,2017.0
29547,22-03-12,MUMBAI,1925.0
29548,22-03-12,NAGPUR,2017.0
29596,23-03-12,MUMBAI,
29597,23-03-12,NAGPUR,
29645,26-03-12,MUMBAI,1925.0
29646,26-03-12,NAGPUR,2017.0
29694,27-03-12,MUMBAI,1925.0
29695,27-03-12,NAGPUR,2017.0
29743,28-03-12,MUMBAI,1925.0
29744,28-03-12,NAGPUR,2050.0
29792,29-03-12,MUMBAI,1925.0
29793,29-03-12,NAGPUR,2050.0
